,start_date,end_date,GEV,EVOEV,DEV,KEV,SEVTS,date
0,2015-01-02,2019-10-31,5.321116306210108,3.2351671256671817,4.004072421797586,0.6428490123163044,-12.365912778216883,2019-10-31
1,2015-02-02,2019-11-29,4.592936045093703,3.6942850770502917,3.3397701455874276,1.2150058254570557,-13.884347610615178,2019-11-29
2,2015-03-03,2019-12-30,4.559969420516757,3.7487220949417095,3.2889567915821347,1.2685392822779322,-14.114013417904204,2019-12-30
3,2015-04-01,2020-01-28,3.923303525710206,4.025129186539657,1.3006206933003561,-1.516806475309593,-15.123778968948896,2020-01-28
4,2015-04-30,2020-02-26,6.738233847559436,2.881472901401777,4.387009889098821,-0.2687626375864521,-9.911099047132899,2020-02-26
5,2015-05-29,2020-03-26,4.5156907579925,4.353035857363608,0.11358199729655545,1.0254314939035445,-15.160647163049996,2020-03-26
6,2015-06-29,2020-04-24,4.498203072077849,4.353223378199709,0.11479409370461632,0.3908684865159372,-15.166093093517077,2020-04-24
7,2015-07-28,2020-05-25,6.952703543265704,3.59367786091304,3.4428373878843566,0.6444236212880206,-12.53034756702742,2020-05-25
8,2015-08-26,2020-06-23,4.6033620313269035,4.465246254420694,0.06680108212655884,0.11032009132403758,-15.559825024005233,2020-06-23
9,2015-09-24,2020-07-22,4.468909531047587,4.3100734450568465,0.10619382501212525,0.4557582159160205,-15.010847200078805,2020-07-22
10,2015-10-23,2020-08-20,4.41347429417782,4.367676744968379,0.06951865357507986,-0.45318091367615226,-15.253901801369755,2020-08-20
11,2015-11-23,2020-09-18,5.031517739883516,4.552236630762925,0.5677763403134173,0.6137304688953067,-15.788693782040431,2020-09-18
12,2015-12-22,2020-10-19,4.755574198596569,4.32595782441918,0.43949691986611017,0.6689822806222357,-15.008603394702888,2020-10-19
13,2016-01-20,2020-11-17,4.811143252374022,4.333652505975497,0.46109684674462903,0.6258420328896923,-15.027942066544066,2020-11-17
14,2016-02-18,2020-12-16,9.387731801597806,2.7410457378854045,3.703731892549177,-0.4066659146497006,-9.467836221451455,2020-12-16
15,2016-03-18,2021-01-14,4.876649042469959,4.333147947977236,0.5447684622142008,0.6594071850176272,-15.01793195269554,2021-01-14
16,2016-04-18,2021-02-12,6.836129491845288,3.8874810778563726,2.997387458864061,0.6146179655832474,-13.53621039283181,2021-02-12
17,2016-05-17,2021-03-15,6.591512032450347,3.793308359556897,2.9373017498654925,0.7045808639781905,-13.19754498777897,2021-03-15
18,2016-06-15,2021-04-13,3.9704412209937483,4.138233313167864,1.256917152737206,-1.710721197763573,-15.454357924351244,2021-04-13
19,2016-07-14,2021-05-12,3.850726838931262,4.0329636186410465,1.3756148663324852,-1.6983467135355166,-15.459434150987832,2021-05-12
20,2016-08-12,2021-06-10,4.425196058386858,4.375256610293859,0.09433637053823432,-0.08757908267990347,-15.278568592565621,2021-06-10
21,2016-09-12,2021-07-09,4.196039655234571,4.330226484404464,0.33792241358001973,-0.571711016697312,-15.225714909215455,2021-07-09
22,2016-10-11,2021-08-09,2.992834897538853,3.8751596211312473,1.3205124223276394,-0.018213620512488163,-15.405275582524402,2021-08-09
23,2016-11-09,2021-09-07,3.6955073418877817,3.9687209280935574,1.3234658515103985,-1.3842386639123094,-15.196616494722155,2021-09-07
24,2016-12-08,2021-10-06,6.849677450133875,3.709408549478868,3.2785797971844928,0.6987104997518745,-12.921587376243176,2021-10-06
25,2017-01-06,2021-11-04,,,,,-15.908021070756414,2021-11-04
26,2017-02-06,2021-12-03,6.752529693030025,3.9069830201316966,2.9439037507312427,0.6304567877158485,-13.597715212109334,2021-12-03
27,2017-03-07,2022-01-03,5.463046034807102,3.7732630115755774,3.5973129495824723,1.1606769807478154,-13.764169589447986,2022-01-03
28,2017-04-05,2022-02-01,6.802983041144919,3.775789382541892,3.2967760441124048,0.7038516217869775,-13.138939844719017,2022-02-01
29,2017-05-04,2022-03-02,3.057932119478063,3.9517699285294596,1.3820703556168819,0.13669926945776975,-15.680984172552156,2022-03-02
30,2017-06-02,2022-03-31,3.7358204928095597,4.046135903555102,1.2155212839050822,-1.3324131976887634,-15.206137436646818,2022-03-31
31,2017-07-03,2022-04-29,3.794755102570829,4.052116703806399,1.3369362508795657,-1.4758115208102585,-15.466595325490252,2022-04-29
32,2017-08-01,2022-05-30,3.8208333652049387,4.039128388474956,1.340023732964668,-1.51905709064046,-15.410397704475933,2022-05-30
33,2017-08-30,2022-06-28,,,,,-15.460496031400067,2022-06-28
34,2017-09-28,2022-07-27,4.580912715308646,4.4323584851806626,0.09589690325919824,-0.024899871689482447,-15.441460420027445,2022-07-27
35,2017-10-27,2022-08-25,3.71528736458193,3.9274830970699077,1.3454205143061435,-1.6107661307278456,-15.097115618343912,2022-08-25
36,2017-11-27,2022-09-23,,,,,-15.20561316398789,2022-09-23
37,2017-12-26,2022-10-24,6.646652688607736,3.8666643677527963,3.4231741031719487,1.1621237915760825,-13.433366792575141,2022-10-24
38,2018-01-24,2022-11-22,7.179294981113952,3.5833612239691455,3.877647451558348,0.7011478507480555,-12.492666171758048,2022-11-22
39,2018-02-22,2022-12-21,4.21658348836433,4.308837276060594,0.2672415493955376,-0.5575355446006501,-15.121046188719852,2022-12-21
40,2018-03-23,2023-01-19,3.4986283683608743,4.257467470480179,0.8034070547641418,0.2499590737092581,-15.560870404863477,2023-01-19
41,2018-04-23,2023-02-17,3.617860410358361,4.3539392696888015,0.8397267170779046,0.09429142268659756,-15.883519520333758,2023-02-17
